#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1726581720.002387,2387,79f3bb714b94,1,0,0,115386068,98879824,110501656,1947768,6848288,0,7149680,3589432,1948232,35980,5201448,3553452,256,256,2097148,2097148,1436,0,1943812,695544,41296,4644860,3832712,812148,44528,59136,0,0,0,59790180,15702444,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581721.001546,1546,79f3bb714b94,1,0,0,115386068,98871576,110493440,1947776,6848328,0,7155432,3589468,1953976,35992,5201456,3553476,256,256,2097148,2097148,1532,0,1949556,690344,41312,4644932,3832712,812220,44608,59508,0,0,0,59790180,15640284,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581722.002088,2088,79f3bb714b94,1,0,0,115386068,98871876,110493808,1947780,6848336,0,7154832,3589472,1953376,35992,5201456,3553480,256,256,2097148,2097148,1536,0,1949044,690572,41312,4645004,3832776,812228,44624,59568,0,0,0,59790180,15639272,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581723.001211,1211,79f3bb714b94,1,0,0,115386068,98871264,110493200,1947788,6848340,0,7155460,3589480,1954004,35996,5201456,3553484,256,256,2097148,2097148,1536,0,1949532,690332,41312,4645004,3832776,812228,44608,59512,0,0,0,59790180,15639272,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581724.002295,2295,79f3bb714b94,1,0,0,115386068,98870404,110492344,1947796,6848340,0,7155688,3589484,1954232,35996,5201456,3553488,256,256,2097148,2097148,1536,0,1949768,690256,41312,4645052,3832776,812276,44656,59620,0,0,0,59790180,15640620,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581725.001441,1441,79f3bb714b94,1,0,0,115386068,98871892,110493836,1947800,6848344,0,7154716,3589488,1953260,35996,5201456,3553492,256,256,2097148,2097148,1544,0,1948664,690316,41312,4645052,3832776,812276,44608,59508,0,0,0,59790180,15634204,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581726.001916,1916,79f3bb714b94,1,0,0,115386068,98871188,110493136,1947804,6848348,0,7154800,3589492,1953344,35996,5201456,3553496,256,256,2097148,2097148,1544,0,1948776,690336,41312,4645052,3832776,812276,44608,59508,0,0,0,59790180,15634204,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581727.001641,1641,79f3bb714b94,1,0,0,115386068,98871592,110493544,1947808,6848352,0,7154884,3589496,1953428,35996,5201456,3553500,256,256,2097148,2097148,1544,0,1948692,690340,41312,4645060,3832776,812284,44608,59508,0,0,0,59790180,15638476,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581728.002123,2123,79f3bb714b94,1,0,0,115386068,98871716,110493668,1947812,6848352,0,7153788,3589496,1952332,35996,5201456,3553500,256,256,2097148,2097148,1544,0,1947568,690280,41312,4645064,3832776,812288,44608,59472,0,0,0,59790180,15638476,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
1726581729.001328,1328,79f3bb714b94,1,0,0,115386068,98870444,110492400,1947820,6848360,0,7154788,3589500,1953332,35996,5201456,3553504,256,256,2097148,2097148,1548,0,1948568,690264,41312,4645064,3832776,812288,44592,59440,0,0,0,59790180,15638116,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1343032,21622784,112197632
