#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727445774.001905,1905,aefb57a6659b,1,0,0,115386068,97827916,110553944,2124036,7654892,0,7518024,4044416,1788916,36036,5729108,4008380,256,256,2097148,2097148,1232,0,1783992,581688,41520,4863408,3953652,909756,43712,53820,0,0,0,59790180,15735604,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445775.002058,2058,aefb57a6659b,1,0,0,115386068,97828524,110554784,2124060,7654928,0,7517140,4044448,1788008,36036,5729132,4008412,256,256,2097148,2097148,1256,0,1783204,581624,41520,4863788,3953828,909960,43840,54020,0,0,0,59790180,15735136,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445776.002583,2583,aefb57a6659b,1,0,0,115386068,97827904,110554100,2124068,7654932,0,7517256,4044452,1788112,36036,5729144,4008416,256,256,2097148,2097148,1256,0,1783408,581564,41520,4863320,3953748,909572,43856,54136,0,0,0,59790180,15731828,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445777.001754,1754,aefb57a6659b,1,0,0,115386068,97827164,110553400,2124080,7654936,0,7517940,4044456,1788796,36032,5729144,4008424,256,256,2097148,2097148,1260,0,1783964,581632,41516,4863160,3953780,909380,43840,53964,0,0,0,59790180,15720636,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445778.002253,2253,aefb57a6659b,1,0,0,115386068,97827476,110553712,2124092,7654936,0,7517160,4044456,1788016,36032,5729144,4008424,256,256,2097148,2097148,1260,0,1783044,581520,41516,4863160,3953780,909380,43728,53704,0,0,0,59790180,15720636,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445779.001434,1434,aefb57a6659b,1,0,0,115386068,97827128,110553368,2124100,7654940,0,7517688,4044460,1788544,36032,5729144,4008428,256,256,2097148,2097148,1260,0,1783620,581560,41516,4863164,3953780,909384,43792,53852,0,0,0,59790180,15720560,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445780.001978,1978,aefb57a6659b,1,0,0,115386068,97826632,110552912,2124112,7654944,0,7517672,4044468,1788496,36032,5729176,4008436,256,256,2097148,2097148,1260,0,1783568,581544,41516,4863164,3953780,909384,43792,53812,0,0,0,59790180,15720560,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445781.002139,2139,aefb57a6659b,1,0,0,115386068,97826872,110553156,2124116,7654948,0,7517252,4044472,1788076,36032,5729176,4008440,256,256,2097148,2097148,1164,0,1783156,581544,41516,4863184,3953780,909404,43792,53852,0,0,0,59790180,15719844,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445782.002650,2650,aefb57a6659b,1,0,0,115386068,97826144,110552428,2124120,7654952,0,7517360,4044472,1788184,36032,5729176,4008440,256,256,2097148,2097148,1168,0,1783136,581584,41516,4863184,3953780,909404,43792,53844,0,0,0,59790180,15719844,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445783.001831,1831,aefb57a6659b,1,0,0,115386068,97827492,110553776,2124128,7654952,0,7517472,4044472,1788296,36032,5729176,4008440,256,256,2097148,2097148,1168,0,1783324,581940,41516,4863184,3953780,909404,43776,54012,0,0,0,59790180,15717980,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445784.002370,2370,aefb57a6659b,1,0,0,115386068,97828608,110554900,2124136,7654960,0,7517636,4044480,1788460,36032,5729176,4008448,256,256,2097148,2097148,1168,0,1783492,581568,41516,4863184,3953780,909404,43792,53852,0,0,0,59790180,15717980,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445785.001597,1597,aefb57a6659b,1,0,0,115386068,97827660,110553956,2124144,7654964,0,7518348,4044484,1789172,36032,5729176,4008452,256,256,2097148,2097148,1168,0,1783992,581556,41516,4863204,3953780,909424,43776,53824,0,0,0,59790180,15723356,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445786.002141,2141,aefb57a6659b,1,0,0,115386068,97834396,110560736,2124152,7654228,0,7516616,4043776,1787400,35320,5729216,4008456,256,256,2097148,2097148,1172,0,1782148,580988,40780,4863508,3953780,909728,44784,54296,0,0,0,59790180,15706292,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445787.001302,1302,aefb57a6659b,1,0,0,115386068,97833968,110560316,2124156,7654232,0,7517036,4043780,1787820,35320,5729216,4008460,256,256,2097148,2097148,1176,0,1782616,580952,40780,4863528,3953784,909744,44816,54344,0,0,0,59790180,15691376,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445788.002848,2848,aefb57a6659b,1,0,0,115386068,97832380,110558748,2124160,7654980,0,7518268,4044512,1789052,36032,5729216,4008480,256,256,2097148,2097148,1176,0,1784124,581600,41516,4863448,3953784,909664,43792,53852,0,0,0,59790180,15691376,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445789.002030,2030,aefb57a6659b,1,0,0,115386068,97832504,110558876,2124164,7654984,0,7517644,4044516,1788428,36032,5729216,4008484,256,256,2097148,2097148,1176,0,1782736,581584,41516,4863464,3953784,909680,43808,53876,0,0,0,59790180,15689984,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445790.002522,2522,aefb57a6659b,1,0,0,115386068,97832236,110558612,2124168,7654988,0,7516976,4044520,1787760,36032,5729216,4008488,256,256,2097148,2097148,48,0,1782524,581480,41516,4863600,3953784,909816,43824,53844,0,0,0,59790180,15689984,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445791.001686,1686,aefb57a6659b,1,0,0,115386068,97831988,110558364,2124172,7654984,0,7517284,4044520,1788068,36032,5729216,4008488,256,256,2097148,2097148,48,0,1782596,581880,41516,4863624,3953784,909840,43856,54180,0,0,0,59790180,15691300,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445792.002235,2235,aefb57a6659b,1,0,0,115386068,97832512,110558892,2124180,7654980,0,7517008,4044524,1787792,36032,5729216,4008492,256,256,2097148,2097148,48,0,1782240,581776,41516,4863624,3953784,909840,43792,54012,0,0,0,59790180,15691300,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445793.001395,1395,aefb57a6659b,1,0,0,115386068,97832612,110559000,2124192,7654976,0,7516444,4044532,1787228,36032,5729216,4008500,256,256,2097148,2097148,52,0,1782228,581448,41516,4863624,3953784,909840,43808,53828,0,0,0,59790180,15688532,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445794.001967,1967,aefb57a6659b,1,0,0,115386068,97831992,110558384,2124200,7654972,0,7517164,4044536,1787948,36032,5729216,4008504,256,256,2097148,2097148,52,0,1782996,581468,41516,4863624,3953784,909840,43840,53924,0,0,0,59790180,15688532,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445795.002151,2151,aefb57a6659b,1,0,0,115386068,97831372,110557832,2124212,7655008,0,7516828,4044544,1787552,36032,5729276,4008512,256,256,2097148,2097148,80,0,1782404,581536,41516,4863656,3953784,909872,43808,54048,0,0,0,59790180,15686004,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445796.002670,2670,aefb57a6659b,1,0,0,115386068,97830992,110557452,2124220,7655008,0,7517204,4044544,1787928,36032,5729276,4008512,256,256,2097148,2097148,80,0,1782760,581376,41516,4863656,3953784,909872,43824,53908,0,0,0,59790180,15686004,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445797.001862,1862,aefb57a6659b,1,0,0,115386068,97831604,110558068,2124228,7655012,0,7516992,4044548,1787716,36032,5729276,4008516,256,256,2097148,2097148,80,0,1782556,581316,41516,4863656,3953784,909872,43808,53844,0,0,0,59790180,15686004,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445798.002349,2349,aefb57a6659b,1,0,0,115386068,97831796,110558264,2124236,7655016,0,7517184,4044552,1787908,36032,5729276,4008520,256,256,2097148,2097148,80,0,1782968,581748,41516,4863472,3953784,909688,43760,53748,0,0,0,59790180,15682640,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445799.001527,1527,aefb57a6659b,1,0,0,115386068,97832208,110558680,2124244,7655020,0,7517004,4044556,1787728,36032,5729276,4008524,256,256,2097148,2097148,80,0,1782768,581712,41516,4863472,3953784,909688,43744,53668,0,0,0,59790180,15682640,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445800.002039,2039,aefb57a6659b,1,0,0,115386068,97832216,110558736,2124256,7655024,0,7516804,4044560,1787488,36032,5729316,4008528,256,256,2097148,2097148,84,0,1782540,581596,41516,4863476,3953788,909688,43792,53844,0,0,0,59790180,15686800,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445801.001214,1214,aefb57a6659b,1,0,0,115386068,97832564,110559092,2124268,7655032,0,7516768,4044568,1787452,36032,5729316,4008536,256,256,2097148,2097148,84,0,1782452,581588,41516,4863476,3953788,909688,43776,53812,0,0,0,59790180,15686800,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445802.002719,2719,aefb57a6659b,1,0,0,115386068,97832596,110559128,2124280,7655036,0,7517048,4044572,1787732,36032,5729316,4008540,256,256,2097148,2097148,84,0,1782840,581624,41516,4863476,3953788,909688,43792,53864,0,0,0,59790180,15689012,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445803.001898,1898,aefb57a6659b,1,0,0,115386068,97832456,110558992,2124284,7655040,0,7517156,4044576,1787840,36032,5729316,4008544,256,256,2097148,2097148,84,0,1782844,581600,41516,4863476,3953788,909688,43776,53820,0,0,0,59790180,15689012,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445804.002430,2430,aefb57a6659b,1,0,0,115386068,97833200,110559740,2124292,7655044,0,7517492,4044580,1788176,36032,5729316,4008548,256,256,2097148,2097148,88,0,1783216,581696,41516,4863476,3953788,909688,43792,53880,0,0,0,59790180,15687656,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445805.001620,1620,aefb57a6659b,1,0,0,115386068,97832860,110559404,2124300,7655048,0,7517144,4044584,1787828,36032,5729316,4008552,256,256,2097148,2097148,88,0,1782908,581556,41516,4863476,3953788,909688,43760,53788,0,0,0,59790180,15687656,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445806.002146,2146,aefb57a6659b,1,0,0,115386068,97832076,110558628,2124308,7655052,0,7516676,4044588,1787360,36032,5729316,4008556,256,256,2097148,2097148,56,0,1782388,581604,41516,4863480,3953792,909688,43760,53784,0,0,0,59790180,15688488,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445807.001306,1306,aefb57a6659b,1,0,0,115386068,97832340,110558896,2124324,7655040,0,7516584,4044592,1787268,36032,5729316,4008560,256,256,2097148,2097148,56,0,1782308,581476,41516,4863480,3953792,909688,43760,53748,0,0,0,59790180,15688488,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445808.002820,2820,aefb57a6659b,1,0,0,115386068,97832936,110559552,2124336,7655056,0,7517108,4044600,1787740,36032,5729368,4008568,256,256,2097148,2097148,56,0,1782720,581624,41516,4863480,3953792,909688,43824,53912,0,0,0,59790180,15687804,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445809.001996,1996,aefb57a6659b,1,0,0,115386068,97833300,110559920,2124352,7655060,0,7516928,4044604,1787560,36032,5729368,4008572,256,256,2097148,2097148,56,0,1783068,581424,41516,4863480,3953792,909688,43840,53892,0,0,0,59790180,15687804,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445810.002479,2479,aefb57a6659b,1,0,0,115386068,97832356,110558984,2124360,7655068,0,7516684,4044612,1787316,36032,5729368,4008580,256,256,2097148,2097148,60,0,1782432,581432,41516,4863480,3953792,909688,43808,53948,0,0,0,59790180,15683932,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445811.001658,1658,aefb57a6659b,1,0,0,115386068,97832588,110559276,2124372,7655072,0,7517104,4044620,1787684,36032,5729420,4008588,256,256,2097148,2097148,72,0,1782804,581456,41516,4863480,3953792,909688,43824,54036,0,0,0,59790180,15683932,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445812.002191,2191,aefb57a6659b,1,0,0,115386068,97831572,110558264,2124380,7655076,0,7517924,4044624,1788504,36032,5729420,4008592,256,256,2097148,2097148,28,0,1783568,581580,41516,4863480,3953792,909688,43824,53880,0,0,0,59790180,15695856,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445813.001348,1348,aefb57a6659b,1,0,0,115386068,97832248,110558940,2124388,7655076,0,7517848,4044624,1788428,36032,5729420,4008592,256,256,2097148,2097148,28,0,1783464,581580,41516,4863480,3953792,909688,43792,53824,0,0,0,59790180,15695856,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445814.001890,1890,aefb57a6659b,1,0,0,115386068,97832296,110559024,2124396,7655084,0,7517844,4044604,1788368,36032,5729476,4008572,256,256,2097148,2097148,36,0,1783436,581644,41516,4863480,3953792,909688,43856,53980,0,0,0,59790180,15695944,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727445815.002073,2073,aefb57a6659b,1,0,0,115386068,97832536,110559268,2124404,7655088,0,7517808,4044608,1788332,36032,5729476,4008576,256,256,2097148,2097148,36,0,1783368,581684,41516,4863480,3953792,909688,43840,53952,0,0,0,59790180,15695944,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
