#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727448577.001969,1969,2e954964fd6c,1,0,0,115386068,97809824,110546020,2129908,7657312,0,7602448,3978780,1799404,36052,5803044,3942728,256,256,2097148,2097148,1036,0,1794632,583660,41516,4866636,3955520,911116,43520,54144,0,0,0,59790180,15489024,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448578.002152,2152,2e954964fd6c,1,0,0,115386068,97809312,110545544,2129928,7657340,0,7602776,3978808,1799728,36052,5803048,3942756,256,256,2097148,2097148,1048,0,1794904,583396,41516,4866640,3955524,911116,43504,53812,0,0,0,59790180,15481436,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448579.002720,2720,2e954964fd6c,1,0,0,115386068,97809044,110545352,2129940,7657344,0,7603820,3978816,1800736,36052,5803084,3942764,256,256,2097148,2097148,1048,0,1795092,583476,41516,4866720,3955556,911164,43488,53804,0,0,0,59790180,15496680,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448580.001898,1898,2e954964fd6c,1,0,0,115386068,97808788,110545100,2129952,7657348,0,7603504,3978820,1800420,36052,5803084,3942768,256,256,2097148,2097148,1048,0,1794840,583360,41516,4866720,3955556,911164,43536,54016,0,0,0,59790180,15505096,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448581.002428,2428,2e954964fd6c,1,0,0,115386068,97808984,110545340,2129964,7657356,0,7601644,3978832,1798560,36052,5803084,3942780,256,256,2097148,2097148,80,0,1793576,583348,41516,4866624,3955588,911036,43456,53872,0,0,0,59790180,15506464,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448582.001593,1593,2e954964fd6c,1,0,0,115386068,97809812,110546168,2129980,7657356,0,7602924,3978832,1799840,36052,5803084,3942780,256,256,2097148,2097148,112,0,1794920,583460,41516,4866624,3955588,911036,43648,54300,0,0,0,59790180,15477596,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448583.002062,2062,2e954964fd6c,1,0,0,115386068,97811184,110547600,2129988,7657360,0,7603832,3978840,1800696,36052,5803136,3942788,256,256,2097148,2097148,112,0,1795912,583460,41516,4866624,3955588,911036,43536,53924,0,0,0,59790180,15480280,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448584.001225,1225,2e954964fd6c,1,0,0,115386068,97811952,110548372,2130004,7657364,0,7602716,3978844,1799580,36052,5803136,3942792,256,256,2097148,2097148,116,0,1794748,583312,41516,4866624,3955588,911036,43472,53704,0,0,0,59790180,15480280,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448585.002747,2747,2e954964fd6c,1,0,0,115386068,97811640,110548068,2130020,7657372,0,7603668,3978852,1800532,36052,5803136,3942800,256,256,2097148,2097148,120,0,1795716,583460,41516,4866640,3955588,911052,43552,53968,0,0,0,59790180,15479384,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448586.001920,1920,2e954964fd6c,1,0,0,115386068,97811592,110548052,2130036,7657372,0,7603468,3978844,1800292,36052,5803176,3942792,256,256,2097148,2097148,120,0,1795236,583272,41516,4866640,3955588,911052,43504,53812,0,0,0,59790180,15479384,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
