#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727406513.501631,501631,372418a1ffc9,1,0,0,115386068,97875136,110479940,2080232,7599204,0,7579112,3978884,1883968,36052,5695144,3942832,256,256,2097148,2097148,56,0,1878772,632292,41512,4812992,3932100,880892,45760,60060,0,0,0,59790180,17084324,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406514.001299,1299,372418a1ffc9,1,0,0,115386068,97875092,110480124,2080244,7599248,0,7579108,3978916,1883952,36052,5695156,3942864,256,256,2097148,2097148,128,0,1879060,632456,41512,4813944,3932284,881660,45824,60288,0,0,0,59790180,17082184,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406514.502325,502325,372418a1ffc9,1,0,0,115386068,97875184,110480284,2080248,7599256,0,7579044,3978920,1883888,36052,5695156,3942868,256,256,2097148,2097148,132,0,1879004,632456,41512,4814008,3932348,881660,45824,60288,0,0,0,59790180,17082184,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406515.000995,995,372418a1ffc9,1,0,0,115386068,97874944,110480048,2080248,7599260,0,7579096,3978924,1883940,36052,5695156,3942872,256,256,2097148,2097148,132,0,1879048,632456,41512,4814008,3932348,881660,45808,60316,0,0,0,59790180,17082184,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406515.502076,502076,372418a1ffc9,1,0,0,115386068,97875192,110480300,2080248,7599264,0,7579096,3978928,1883940,36052,5695156,3942876,256,256,2097148,2097148,132,0,1879056,632456,41512,4814008,3932348,881660,45808,60316,0,0,0,59790180,17082184,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406516.000737,737,372418a1ffc9,1,0,0,115386068,97874960,110480068,2080252,7599260,0,7578940,3978928,1883784,36052,5695156,3942876,256,256,2097148,2097148,132,0,1878900,632136,41512,4814008,3932348,881660,45760,60000,0,0,0,59790180,17083192,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406516.501787,501787,372418a1ffc9,1,0,0,115386068,97874852,110479964,2080252,7599264,0,7578996,3978932,1883840,36052,5695156,3942880,256,256,2097148,2097148,132,0,1878944,632136,41512,4814008,3932348,881660,45760,60000,0,0,0,59790180,17083192,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406517.001427,1427,372418a1ffc9,1,0,0,115386068,97891328,110496444,2080260,7599256,0,7562220,3978928,1867044,36048,5695176,3942880,256,256,2097148,2097148,632,0,1862076,632364,41496,4814056,3932332,881724,45520,59556,0,0,0,59790180,16815356,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406517.501469,501469,372418a1ffc9,1,0,0,115386068,97881340,110486456,2080272,7599260,0,7570928,3978916,1875752,36036,5695176,3942880,256,256,2097148,2097148,816,0,1870768,632332,41500,4814044,3932332,881712,45776,60092,0,0,0,59790180,16958204,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727406518.001125,1125,372418a1ffc9,1,0,0,115386068,97897488,110502624,2080276,7599260,0,7553740,3978928,1858544,36044,5695196,3942884,256,256,2097148,2097148,1104,0,1852772,632092,41492,4813636,3932332,881304,45360,59168,0,0,0,59790180,16677944,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
