#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727448922.501374,501374,3fe3f3ddc62b,1,0,0,115386068,97794364,110533496,2131724,7657984,0,7610308,3979356,1805324,36056,5804984,3943300,256,256,2097148,2097148,1160,0,1800708,583768,41520,4867628,3955932,911696,43632,54028,0,0,0,59790180,15564236,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448923.001440,1440,3fe3f3ddc62b,1,0,0,115386068,97793952,110533116,2131748,7657988,0,7610616,3979384,1805632,36056,5804984,3943328,256,256,2097148,2097148,1160,0,1801012,583740,41520,4867664,3955936,911728,43600,53980,0,0,0,59790180,15569104,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448923.501094,501094,3fe3f3ddc62b,1,0,0,115386068,97793872,110533108,2131756,7657988,0,7610452,3979396,1805468,36060,5804984,3943336,256,256,2097148,2097148,1164,0,1800880,583644,41520,4867760,3956000,911760,43616,53968,0,0,0,59790180,15569104,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448924.002122,2122,3fe3f3ddc62b,1,0,0,115386068,97794112,110533376,2131764,7658020,0,7610316,3979400,1805312,36056,5805004,3943344,256,256,2097148,2097148,1204,0,1800620,583708,41516,4867760,3956000,911760,43600,53900,0,0,0,59790180,15569104,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448924.500781,500781,3fe3f3ddc62b,1,0,0,115386068,97794004,110533272,2131776,7658024,0,7610168,3979404,1805164,36056,5805004,3943348,256,256,2097148,2097148,1208,0,1800360,583716,41516,4867760,3956000,911760,43552,53772,0,0,0,59790180,15569104,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448925.001767,1767,3fe3f3ddc62b,1,0,0,115386068,97792640,110531908,2131788,7658024,0,7610948,3979404,1805944,36056,5805004,3943348,256,256,2097148,2097148,1208,0,1800976,583716,41516,4867760,3956000,911760,43584,53848,0,0,0,59790180,15572792,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448925.501438,501438,3fe3f3ddc62b,1,0,0,115386068,97792768,110532040,2131800,7658028,0,7611404,3979408,1806400,36056,5805004,3943352,256,256,2097148,2097148,1208,0,1801716,583748,41516,4867836,3956000,911836,43600,53924,0,0,0,59790180,15569424,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448926.001444,1444,3fe3f3ddc62b,1,0,0,115386068,97793048,110532380,2131812,7658032,0,7611440,3979416,1806384,36056,5805056,3943360,256,256,2097148,2097148,1208,0,1801704,583748,41516,4867836,3956000,911836,43584,53904,0,0,0,59790180,15569424,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448926.501104,501104,3fe3f3ddc62b,1,0,0,115386068,97793244,110532580,2131824,7658040,0,7611432,3979420,1806376,36056,5805056,3943364,256,256,2097148,2097148,1212,0,1801364,583784,41516,4867840,3956000,911840,43488,53720,0,0,0,59790180,15569424,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448927.002128,2128,3fe3f3ddc62b,1,0,0,115386068,97793104,110532440,2131836,7658040,0,7610684,3979420,1805628,36056,5805056,3943364,256,256,2097148,2097148,1212,0,1800584,583972,41516,4867848,3956000,911848,43488,53724,0,0,0,59790180,15569100,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448927.500789,500789,3fe3f3ddc62b,1,0,0,115386068,97793212,110532548,2131852,7658040,0,7610440,3979420,1805384,36056,5805056,3943364,256,256,2097148,2097148,1212,0,1800356,583792,41516,4867848,3956000,911848,43472,53656,0,0,0,59790180,15569100,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448928.001770,1770,3fe3f3ddc62b,1,0,0,115386068,97793460,110532856,2131868,7658040,0,7610492,3979424,1805384,36056,5805108,3943368,256,256,2097148,2097148,1212,0,1800364,583792,41516,4867852,3956004,911848,43472,53656,0,0,0,59790180,15569100,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448928.501428,501428,3fe3f3ddc62b,1,0,0,115386068,97792584,110531980,2131880,7658040,0,7610712,3979424,1805604,36056,5805108,3943368,256,256,2097148,2097148,1212,0,1800060,583716,41516,4867852,3956004,911848,43456,53588,0,0,0,59790180,15569100,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448929.001403,1403,3fe3f3ddc62b,1,0,0,115386068,97793700,110533128,2131892,7658040,0,7610428,3979428,1805292,36056,5805136,3943372,256,256,2097148,2097148,1212,0,1799796,583716,41516,4867860,3956004,911856,43504,53676,0,0,0,59790180,15566708,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448929.501047,501047,3fe3f3ddc62b,1,0,0,115386068,97793964,110533392,2131904,7658040,0,7610832,3979428,1805696,36056,5805136,3943372,256,256,2097148,2097148,1212,0,1800056,583868,41516,4867860,3956004,911856,43472,53688,0,0,0,59790180,15566708,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448930.002048,2048,3fe3f3ddc62b,1,0,0,115386068,97793856,110533284,2131912,7658040,0,7610772,3979428,1805636,36056,5805136,3943372,256,256,2097148,2097148,1212,0,1799996,583868,41516,4867860,3956004,911856,43456,53656,0,0,0,59790180,15566708,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448930.500703,500703,3fe3f3ddc62b,1,0,0,115386068,97793788,110533208,2131924,7658040,0,7610028,3979420,1804892,36056,5805136,3943364,256,256,2097148,2097148,1076,0,1799492,583828,41516,4867860,3956004,911856,43376,53496,0,0,0,59790180,15566708,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448931.001664,1664,3fe3f3ddc62b,1,0,0,115386068,97794300,110533720,2131936,7658040,0,7609356,3979420,1804220,36056,5805136,3943364,256,256,2097148,2097148,1084,0,1799060,583748,41516,4867860,3956004,911856,43344,53552,0,0,0,59790180,15566596,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448931.501328,501328,3fe3f3ddc62b,1,0,0,115386068,97793200,110532620,2131944,7658040,0,7610660,3979420,1805524,36056,5805136,3943364,256,256,2097148,2097148,1096,0,1800144,583748,41516,4867860,3956004,911856,43344,53428,0,0,0,59790180,15571252,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448932.001309,1309,3fe3f3ddc62b,1,0,0,115386068,97793132,110532680,2131960,7658084,0,7611052,3979464,1805864,36056,5805188,3943408,256,256,2097148,2097148,1104,0,1800896,583772,41516,4867872,3956036,911836,43632,53972,0,0,0,59790180,15571252,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448932.500936,500936,3fe3f3ddc62b,1,0,0,115386068,97792796,110532412,2131976,7658088,0,7611044,3979460,1805848,36056,5805196,3943404,256,256,2097148,2097148,1104,0,1800968,583716,41516,4867996,3956100,911896,43648,53992,0,0,0,59790180,15562228,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448933.001939,1939,3fe3f3ddc62b,1,0,0,115386068,97792568,110532252,2131992,7658092,0,7611024,3979464,1805828,36056,5805196,3943408,256,256,2097148,2097148,1128,0,1800976,583672,41516,4868344,3956164,912180,43616,53928,0,0,0,59790180,15563048,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448933.501604,501604,3fe3f3ddc62b,1,0,0,115386068,97792032,110531772,2132004,7658092,0,7611736,3979468,1806488,36056,5805248,3943412,256,256,2097148,2097148,1128,0,1801592,583664,41516,4868364,3956164,912200,43648,54160,0,0,0,59790180,15568836,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448934.001596,1596,3fe3f3ddc62b,1,0,0,115386068,97788836,110528580,2132020,7658092,0,7614096,3979468,1808848,36056,5805248,3943412,256,256,2097148,2097148,1128,0,1803280,583720,41516,4868368,3956168,912200,43648,54172,0,0,0,59790180,15568836,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448934.501259,501259,3fe3f3ddc62b,1,0,0,115386068,97788836,110528580,2132036,7658092,0,7614072,3979468,1808824,36056,5805248,3943412,256,256,2097148,2097148,1128,0,1803144,583784,41516,4868368,3956168,912200,43600,54096,0,0,0,59790180,15568836,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448935.002244,2244,3fe3f3ddc62b,1,0,0,115386068,97789668,110529428,2132048,7658108,0,7613140,3979484,1807892,36056,5805248,3943428,256,256,2097148,2097148,1132,0,1802968,583680,41516,4868368,3956168,912200,43584,53872,0,0,0,59790180,15568836,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448935.500889,500889,3fe3f3ddc62b,1,0,0,115386068,97790888,110530716,2132064,7658108,0,7611188,3979500,1805888,36056,5805300,3943444,256,256,2097148,2097148,1132,0,1800972,583904,41516,4869024,3956168,912856,43584,53760,0,0,0,59790180,15572640,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448936.001925,1925,3fe3f3ddc62b,1,0,0,115386068,97791672,110531508,2132080,7658116,0,7611240,3979508,1805940,36056,5805300,3943452,256,256,2097148,2097148,1136,0,1800936,583856,41516,4868512,3956168,912344,43552,53692,0,0,0,59790180,15572640,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448936.501589,501589,3fe3f3ddc62b,1,0,0,115386068,97790888,110530784,2132092,7658120,0,7610752,3979488,1805404,36056,5805348,3943432,256,256,2097148,2097148,1136,0,1800440,583748,41516,4868580,3956200,912380,43552,53572,0,0,0,59790180,15571516,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448937.001572,1572,3fe3f3ddc62b,1,0,0,115386068,97791020,110530920,2132108,7658124,0,7610684,3979492,1805336,36056,5805348,3943436,256,256,2097148,2097148,1136,0,1800376,583680,41516,4868580,3956200,912380,43552,53544,0,0,0,59790180,15571516,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448937.501264,501264,3fe3f3ddc62b,1,0,0,115386068,97790344,110530276,2132116,7658128,0,7611936,3979492,1806588,36056,5805348,3943436,256,256,2097148,2097148,388,0,1801772,583736,41516,4868544,3956232,912312,43616,53820,0,0,0,59790180,15565612,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448938.002286,2286,3fe3f3ddc62b,1,0,0,115386068,97790244,110530180,2132128,7658120,0,7611964,3979496,1806616,36056,5805348,3943440,256,256,2097148,2097148,388,0,1801780,583712,41516,4868544,3956232,912312,43616,53812,0,0,0,59790180,15565612,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448938.500953,500953,3fe3f3ddc62b,1,0,0,115386068,97790380,110530320,2132144,7658108,0,7611572,3979500,1806224,36056,5805348,3943444,256,256,2097148,2097148,388,0,1801248,583668,41516,4868448,3956232,912216,43568,53688,0,0,0,59790180,15565612,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448939.001967,1967,3fe3f3ddc62b,1,0,0,115386068,97790644,110530588,2132156,7658100,0,7611448,3979504,1806100,36056,5805348,3943448,256,256,2097148,2097148,388,0,1801128,583668,41516,4868448,3956232,912216,43552,53660,0,0,0,59790180,15565612,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448939.501612,501612,3fe3f3ddc62b,1,0,0,115386068,97790620,110530564,2132168,7658088,0,7611416,3979504,1806068,36056,5805348,3943448,256,256,2097148,2097148,388,0,1801196,583860,41516,4868448,3956232,912216,43568,53688,0,0,0,59790180,15563352,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448940.001587,1587,3fe3f3ddc62b,1,0,0,115386068,97790520,110530468,2132184,7658076,0,7611392,3979508,1806044,36056,5805348,3943452,256,256,2097148,2097148,388,0,1801096,583860,41516,4868448,3956232,912216,43568,53652,0,0,0,59790180,15563352,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448940.501250,501250,3fe3f3ddc62b,1,0,0,115386068,97790132,110530088,2132196,7658068,0,7611476,3979516,1806128,36056,5805348,3943460,256,256,2097148,2097148,388,0,1801196,583912,41516,4868448,3956232,912216,43552,53660,0,0,0,59790180,15563352,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448941.002235,2235,3fe3f3ddc62b,1,0,0,115386068,97790464,110530540,2132212,7658156,0,7612552,3979528,1807100,36056,5805452,3943472,256,256,2097148,2097148,380,0,1797716,583660,41516,4868456,3956236,912220,43568,53884,0,0,0,59790180,15563352,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448941.500915,500915,3fe3f3ddc62b,1,0,0,115386068,97791692,110531776,2132224,7658160,0,7611992,3979536,1806540,36056,5805452,3943480,256,256,2097148,2097148,380,0,1801292,583104,41516,4868464,3956236,912228,43600,53280,0,0,0,59790180,15539440,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448942.001967,1967,3fe3f3ddc62b,1,0,0,115386068,97792616,110532704,2132236,7658160,0,7611620,3979536,1806164,36056,5805456,3943480,256,256,2097148,2097148,380,0,1800836,583064,41516,4868464,3956236,912228,43584,52836,0,0,0,59790180,15543636,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448942.501732,501732,3fe3f3ddc62b,1,0,0,115386068,97792724,110532820,2132244,7658168,0,7611756,3979544,1806300,36056,5805456,3943488,256,256,2097148,2097148,380,0,1800980,583072,41516,4868464,3956236,912228,43600,52872,0,0,0,59790180,15543636,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
1727448943.001750,1750,3fe3f3ddc62b,1,0,0,115386068,97792188,110532344,2132260,7658176,0,7612016,3979552,1806508,36056,5805508,3943496,256,256,2097148,2097148,384,0,1801148,583144,41516,4868464,3956236,912228,43600,52936,0,0,0,59790180,15543636,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1584696,30818304,102760448
