#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1717536661,2105,aceffaeea368,1,0,0,2018296,,81660,1292176,837956,329960,13956,622112,764648,95688,125116,526424,639532,0,0,1048576,812544,184,0,210276,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536662,1203,aceffaeea368,1,0,0,2018296,,81660,1292176,837960,329960,13956,622112,764812,95688,125280,526424,639532,0,0,1048576,812544,184,0,210276,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536663,1373,aceffaeea368,1,0,0,2018296,,81660,1292176,837960,329964,13956,622112,764816,95688,125284,526424,639532,0,0,1048576,812544,188,0,210280,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536664,1484,aceffaeea368,1,0,0,2018296,,81660,1292176,837972,329964,13956,622112,764816,95688,125284,526424,639532,0,0,1048576,812544,188,0,210280,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536665,1679,aceffaeea368,1,0,0,2018296,,81660,1292176,837980,329964,13956,622112,764816,95688,125284,526424,639532,0,0,1048576,812544,188,0,210280,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536666,1750,aceffaeea368,1,0,0,2018296,,81660,1292176,837992,329964,13956,622112,764816,95688,125284,526424,639532,0,0,1048576,812544,188,0,210280,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536667,1858,aceffaeea368,1,0,0,2018296,,81660,1292180,838000,329968,13956,622112,764820,95688,125284,526424,639536,0,0,1048576,812544,188,0,210444,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536668,1943,aceffaeea368,1,0,0,2018296,,81660,1292244,838008,329972,13956,622172,764824,95688,125284,526484,639540,0,0,1048576,812544,192,0,210444,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536669,2074,aceffaeea368,1,0,0,2018296,,81408,1291992,838016,329976,13956,622172,764824,95688,125284,526484,639540,0,0,1048576,812544,196,0,210480,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536670,1172,aceffaeea368,1,0,0,2018296,,79364,1289984,838032,329976,13956,622256,764780,95688,125288,526568,639492,0,0,1048576,812544,196,0,210480,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536671,1406,aceffaeea368,1,0,0,2018296,,79364,1289984,838036,329976,13956,622252,764784,95688,125288,526564,639496,0,0,1048576,812544,72,0,210480,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536672,1522,aceffaeea368,1,0,0,2018296,,79364,1289984,838036,329976,13956,622252,764784,95688,125288,526564,639496,0,0,1048576,812544,108,0,210480,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536673,1173,aceffaeea368,1,0,0,2018296,,79364,1289988,838052,329980,13956,622252,764788,95688,125288,526564,639500,0,0,1048576,812544,112,0,210480,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536674,1270,aceffaeea368,1,0,0,2018296,,79364,1289988,838052,329984,13956,622252,764788,95688,125288,526564,639500,0,0,1048576,812544,116,0,210480,62772,1688,232556,306872,232556,74316,7916,6188,0,0,0,2057724,2411124,34359738367,28848,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536675,1400,aceffaeea368,1,0,0,2018296,,79056,1290184,838064,330360,13844,622344,765064,95532,125180,526812,639884,0,0,1048576,812544,56,0,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536676,1458,aceffaeea368,1,0,0,2018296,,79056,1290224,838076,330360,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,56,0,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536677,1601,aceffaeea368,1,0,0,2018296,,79056,1290224,838084,330352,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,56,0,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536678,1694,aceffaeea368,1,0,0,2018296,,79056,1290224,838088,330348,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,56,8,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
1717536679,1877,aceffaeea368,1,0,0,2018296,,79056,1290224,838104,330336,13844,622384,765084,95532,125200,526852,639884,0,0,1048576,812544,60,16,210484,62708,1688,232428,306792,232428,74364,7920,6164,0,0,0,2057724,2411124,34359738367,28864,0,6080,114688,0,0,0,0,0,0,0,0,2048,0,109568,1986560,10485760
