N,instructions,cycles,cache-misses,cache-references,LLC-loads,LLC-load-misses
1000,73734661,45008170,55609,331693,50492,4743
1500,73747926,43912842,10494,289174,59291,2041
2000,73866951,43517477,4757,288167,59446,873
3000,73891454,43167976,2240,289042,59405,322
4000,73849353,43213862,1933,289058,58696,323
5000,73806879,43559425,5295,289821,59860,812
6000,73826580,43309446,2349,288988,59836,312
8000,73712876,42560502,6737,326297,49174,108
10000,73910622,43148601,2783,288457,59455,146
15000,73807160,43345122,1568,290364,60394,126
20000,73795516,43302189,935,285851,59186,88
25000,73756480,43253473,784,286525,59326,62
30000,73944553,43274464,863,290465,59784,46
35000,73711467,43146086,748,289095,59644,81
40000,73912830,42815834,4764,327310,49190,53
50000,73845439,43146055,629,289236,60007,53
60000,73781602,43068282,571,286744,58973,36
75000,73796477,43052749,810,288034,58840,91
90000,73808720,43162942,617,291871,60448,50
100000,73867984,43184979,708,290012,59875,51
110000,73851203,43316988,653,290878,59888,52
120000,73935163,42776489,3541,328171,49877,35
130000,73761642,43230610,417,290309,59808,48
140000,73900979,43170961,369,289098,59356,38
150000,73935404,43237206,469,287720,58897,25
160000,73740043,43119263,436,288180,59356,52
170000,73664020,43274776,347,288679,59465,46
180000,73899306,43455915,388,288845,59568,40
190000,73780215,42800498,3200,328615,49864,40
200000,73832310,43232536,888,310266,56634,37
230000,73733321,43193724,439,287878,59532,38
270000,73744710,42784563,2458,322924,51408,32
290000,73790177,43344295,509,288488,60252,19
300000,73998310,43770566,5364,327057,49645,314
325000,73825432,43386713,1187,289020,59557,65
350000,73847428,42784368,2425,319466,51238,52
375000,73802407,43347741,456,286416,59371,47
400000,73702007,43004037,278,286120,58773,53
410000,73801108,43134434,230,288469,60010,24
425000,73995296,43283451,456,291674,61155,93
430000,73705526,43096909,410,287428,58975,75
450000,73802845,43114294,218,287115,59793,26
475000,73926197,43151490,2361,328560,50382,49
500000,73787836,42946713,1379,285285,58895,270
525000,73752667,43184499,884,283674,58841,55
540000,73998105,43223753,478,287190,59519,68
575000,73662293,43183358,766,289583,59510,63
590000,73850142,42956315,549,289289,59906,69
600000,73836157,43132166,341,286295,59085,37
610000,73644994,42437432,2460,328664,50292,42
625000,73864611,43219833,393,288620,59344,50
650000,73921938,43372889,241,288739,59606,26
675000,73752788,43149300,218,289391,59886,31
750000,73748184,43179142,1396,285743,58855,297
800000,73825127,43326434,627,288046,59653,81
850000,73908818,43379498,300,291425,60616,31
900000,73974508,43120550,2553,327904,49464,47
925000,73745402,43100987,229,288447,60141,44
950000,73768297,43333775,594,291631,59503,34
975000,73829121,43320089,225,286401,59703,25
1000000,73996365,43254960,300,288106,59359,48
5000000,73773498,43109586,292,288733,59067,32
10000000,73723627,42949386,235,289052,59256,41
15000000,73803324,42762018,2952,330660,49481,127
20000000,73727926,43300055,264,288914,60264,35
30000000,73808953,43278129,200,289867,60937,37
40000000,73955664,43366133,151,287654,59154,24
50000000,73678359,42865628,440,292460,59973,61
60000000,73696447,42934881,141,284899,59019,24
70000000,73681115,42888033,178,287570,58642,30
75000000,73688330,42676015,1934,329773,50080,37
100000000,73746809,43108421,195,289343,58645,36
110000000,73940329,43300565,201,291336,60075,29
120000000,73972489,43411492,228,287642,60136,44
130000000,73712460,42813050,450,287733,59166,125
140000000,73827274,43094778,196,289440,59958,44
150000000,73808304,42926474,1882,327294,50164,46
