N,Trial,Latency_ns
1,1,799240.5444383621
1,2,872299.075126648
1,3,813843.6824083328
5,1,156813.1148815155
5,2,156631.6932439804
5,3,157798.08163642883
10,1,84022.43256568909
10,2,80430.32139539719
10,3,79987.19811439514
50,1,16833.804547786713
50,2,16176.737844944
50,3,16005.933284759523
75,1,10752.057035764057
75,2,10201.732317606607
75,3,10283.06782245636
100,1,8175.39170384407
100,2,8081.831037998199
100,3,7718.205451965333
200,1,4091.393202543259
200,2,3982.2049438953395
200,3,3975.7136255502705
300,1,2730.1969627539315
300,2,2653.369059165319
300,3,2679.545432329178
400,1,2141.63213968277
400,2,2119.1127598285675
400,3,2110.3722974658012
500,1,1754.0156841278076
500,2,1726.6646027565002
500,3,1719.888299703598
600,1,1405.4744193951287
600,2,1394.8635508616765
600,3,1397.1608132123947
700,1,1225.6231691156115
700,2,1207.747097526278
700,3,1201.672213418143
800,1,1043.3467105031013
800,2,1036.8484072387218
800,3,1027.3605585098267
900,1,962.6232915454441
900,2,942.8585569063822
900,3,937.0698697037167
1000,1,887.5802159309387
1000,2,861.6633713245392
1000,3,859.8770946264267
1500,1,522.3701397577921
1500,2,514.9568120638529
1500,3,511.1495653788249
2000,1,432.1327432990074
2000,2,430.61189353466034
2000,3,431.68850243091583
3000,1,263.70460788408917
3000,2,257.9838037490845
3000,3,257.2194983561834
4000,1,177.4323172867298
4000,2,171.0178330540657
4000,3,171.0047945380211
5000,1,171.85509204864502
5000,2,170.28041183948517
5000,3,170.96661031246185
6000,1,87.19507604837418
6000,2,86.17714047431946
6000,3,86.84645096460977
8000,1,86.68587543070316
8000,2,85.05070582032204
8000,3,84.29540321230888
10000,1,88.1800428032875
10000,2,84.3660905957222
10000,3,84.53372865915298
15000,1,85.57488520940144
15000,2,85.98417043685913
15000,3,86.67508761088052
20000,1,85.54672822356224
20000,2,86.03530004620552
20000,3,87.08899840712547
25000,1,85.53825318813324
25000,2,85.74619889259338
25000,3,85.02855896949768
30000,1,85.53620427846909
30000,2,84.9518304069837
30000,3,85.60139685869217
35000,1,86.47191737379347
35000,2,87.16732263565063
35000,3,85.23762226104736
40000,1,85.73569357395172
40000,2,85.53257212042809
40000,3,85.54509840905666
50000,1,86.13087236881256
50000,2,84.88200604915619
50000,3,85.22137999534607
60000,1,86.42543107271194
60000,2,85.43205137054126
60000,3,85.09454006950061
75000,1,88.45359086990356
75000,2,87.93609837690988
75000,3,88.00787230332692
90000,1,87.22042871846092
90000,2,84.99336739381154
90000,3,85.13548721869786
100000,1,86.78469806909561
100000,2,84.93058383464813
100000,3,84.9701277911663
110000,1,87.36381476575677
110000,2,84.88871495832096
110000,3,85.24883199821818
120000,1,86.97890055676301
120000,2,85.69400136669476
